group,block,beat_interval_ms,beat_index,beat_time_sec,press_time_sec,reaction_time
1,1,750,1,1.0,1.0003,0.0003
1,1,750,2,1.75,1.7508,0.0008
1,1,750,3,2.5,2.5014,0.0014
1,1,750,4,3.25,3.2522,0.0022
1,1,750,5,4.0,4.003,0.003
1,1,750,6,4.75,4.7538,0.0038
1,1,750,7,5.5,5.5045,0.0045
1,1,750,8,6.25,6.2553,0.0053
1,1,750,9,7.0,7.006,0.006
1,1,750,10,7.75,7.7567,0.0067
1,1,750,11,8.5,8.5075,0.0075
1,1,750,12,9.25,9.2583,0.0083
1,1,750,13,10.0,10.009,0.009
1,1,750,14,10.75,10.7597,0.0097
1,1,750,15,11.5,11.5104,0.0104
1,1,750,16,12.25,12.2612,0.0112
1,1,750,17,13.0,13.012,0.012
1,1,750,18,13.75,F,F
1,1,750,19,14.5,F,F
1,1,750,20,15.25,F,F
1,1,750,21,16.0,16.0149,0.0149
1,1,750,22,16.75,16.7656,0.0156
1,1,750,23,17.5,17.5165,0.0165
1,1,750,24,18.25,18.2672,0.0172
1,1,750,25,19.0,19.018,0.018
1,2,1000,1,1.0,F,F
1,2,1000,2,2.0,2.0013,0.0013
1,2,1000,3,3.0,3.0022,0.0022
1,2,1000,4,4.0,4.0033,0.0033
1,2,1000,5,5.0,F,F
1,2,1000,6,6.0,F,F
1,2,1000,7,7.0,7.0063,0.0063
1,2,1000,8,8.0,8.0075,0.0075
1,2,1000,9,9.0,F,F
1,2,1000,10,10.0,10.0086,0.0086
1,2,1000,11,11.0,11.0098,0.0098
1,2,1000,12,12.0,12.0108,0.0108
1,2,1000,13,13.0,F,F
1,2,1000,14,14.0,14.0135,0.0135
1,2,1000,15,15.0,F,F
1,2,1000,16,16.0,16.015,0.015
1,2,1000,17,17.0,F,F
1,2,1000,18,18.0,18.0167,0.0167
1,2,1000,19,19.0,F,F
1,3,450,1,1.0,F,F
1,3,450,2,1.45,1.4503,0.0003
1,3,450,3,1.9,1.9008,0.0008
1,3,450,4,2.35,2.3514,0.0014
1,3,450,5,2.8,2.8017,0.0017
1,3,450,6,3.25,3.2524,0.0024
1,3,450,7,3.7,3.7028,0.0028
1,3,450,8,4.15,4.1531,0.0031
1,3,450,9,4.6,4.6034,0.0034
1,3,450,10,5.05,5.0543,0.0043
1,3,450,11,5.5,F,F
1,3,450,12,5.95,5.9548,0.0048
1,3,450,13,6.4,6.4052,0.0052
1,3,450,14,6.85,6.8558,0.0058
1,3,450,15,7.3,7.3064,0.0064
1,3,450,16,7.75,7.7567,0.0067
1,3,450,17,8.2,8.2072,0.0072
1,3,450,18,8.65,8.6576,0.0076
1,3,450,19,9.1,9.108,0.008
1,3,450,20,9.55,9.5584,0.0084
1,3,450,21,10.0,10.0089,0.0089
1,3,450,22,10.45,10.4593,0.0093
1,3,450,23,10.9,10.9098,0.0098
1,3,450,24,11.35,11.3602,0.0102
1,3,450,25,11.8,11.8107,0.0107
1,3,450,26,12.25,12.2612,0.0112
1,3,450,27,12.7,12.7118,0.0118
1,3,450,28,13.15,13.1622,0.0122
1,3,450,29,13.6,13.6126,0.0126
1,3,450,30,14.05,14.063,0.013
1,3,450,31,14.5,14.5135,0.0135
1,3,450,32,14.95,14.9639,0.0139
1,3,450,33,15.4,15.4145,0.0145
1,3,450,34,15.85,15.865,0.015
1,3,450,35,16.3,16.3153,0.0153
1,3,450,36,16.75,16.7657,0.0157
1,3,450,37,17.2,17.2163,0.0163
1,3,450,38,17.65,17.6667,0.0167
1,3,450,39,18.1,18.1171,0.0171
1,3,450,40,18.55,18.5676,0.0176
1,3,450,41,19.0,19.0179,0.0179
2,1,750,1,1.0,0.9953,-0.0047
2,1,750,2,1.75,1.7509,0.0009
2,1,750,3,2.5,2.5016,0.0016
2,1,750,4,3.25,3.2524,0.0024
2,1,750,5,4.0,4.0032,0.0032
2,1,750,6,4.75,4.7538,0.0038
2,1,750,7,5.5,5.5044,0.0044
2,1,750,8,6.25,6.2551,0.0051
2,1,750,9,7.0,7.0062,0.0062
2,1,750,10,7.75,7.7569,0.0069
2,1,750,11,8.5,8.5074,0.0074
2,1,750,12,9.25,9.2582,0.0082
2,1,750,13,10.0,10.0089,0.0089
2,1,750,14,10.75,10.7596,0.0096
2,1,750,15,11.5,11.5104,0.0104
2,1,750,16,12.25,12.2611,0.0111
2,1,750,17,13.0,13.0119,0.0119
2,1,750,18,13.75,13.7627,0.0127
2,1,750,19,14.5,14.5135,0.0135
2,1,750,20,15.25,15.2643,0.0143
2,1,750,21,16.0,16.0151,0.0151
2,1,750,22,16.75,16.7659,0.0159
2,1,750,23,17.5,17.5166,0.0166
2,1,750,24,18.25,18.2673,0.0173
2,1,750,25,19.0,F,F
2,2,450,1,1.0,0.9956,-0.0044
2,2,450,2,1.45,1.4505,0.0005
2,2,450,3,1.9,1.9009,0.0009
2,2,450,4,2.35,2.3513,0.0013
2,2,450,5,2.8,2.8018,0.0018
2,2,450,6,3.25,3.2523,0.0023
2,2,450,7,3.7,3.7028,0.0028
2,2,450,8,4.15,4.1532,0.0032
2,2,450,9,4.6,4.6036,0.0036
2,2,450,10,5.05,5.054,0.004
2,2,450,11,5.5,5.5045,0.0045
2,2,450,12,5.95,5.955,0.005
2,2,450,13,6.4,6.4055,0.0055
2,2,450,14,6.85,6.8558,0.0058
2,2,450,15,7.3,7.3063,0.0063
2,2,450,16,7.75,7.7567,0.0067
2,2,450,17,8.2,8.2071,0.0071
2,2,450,18,8.65,8.6575,0.0075
2,2,450,19,9.1,9.108,0.008
2,2,450,20,9.55,9.5584,0.0084
2,2,450,21,10.0,10.0089,0.0089
2,2,450,22,10.45,10.4593,0.0093
2,2,450,23,10.9,10.9099,0.0099
2,2,450,24,11.35,11.3603,0.0103
2,2,450,25,11.8,11.8108,0.0108
2,2,450,26,12.25,12.2612,0.0112
2,2,450,27,12.7,12.7117,0.0117
2,2,450,28,13.15,13.1621,0.0121
2,2,450,29,13.6,13.6126,0.0126
2,2,450,30,14.05,14.0631,0.0131
2,2,450,31,14.5,14.5135,0.0135
2,2,450,32,14.95,14.9639,0.0139
2,2,450,33,15.4,15.4144,0.0144
2,2,450,34,15.85,15.8649,0.0149
2,2,450,35,16.3,16.3153,0.0153
2,2,450,36,16.75,16.7658,0.0158
2,2,450,37,17.2,17.2162,0.0162
2,2,450,38,17.65,17.6667,0.0167
2,2,450,39,18.1,18.1171,0.0171
2,2,450,40,18.55,F,F
2,2,450,41,19.0,F,F
2,3,1000,1,1.0,1.0003,0.0003
2,3,1000,2,2.0,2.0011,0.0011
2,3,1000,3,3.0,3.002,0.002
2,3,1000,4,4.0,4.0032,0.0032
2,3,1000,5,5.0,5.0042,0.0042
2,3,1000,6,6.0,6.0052,0.0052
2,3,1000,7,7.0,7.0061,0.0061
2,3,1000,8,8.0,8.007,0.007
2,3,1000,9,9.0,9.0079,0.0079
2,3,1000,10,10.0,10.0089,0.0089
2,3,1000,11,11.0,11.0098,0.0098
2,3,1000,12,12.0,12.0108,0.0108
2,3,1000,13,13.0,13.0118,0.0118
2,3,1000,14,14.0,14.0128,0.0128
2,3,1000,15,15.0,15.0138,0.0138
2,3,1000,16,16.0,16.0148,0.0148
2,3,1000,17,17.0,17.0159,0.0159
2,3,1000,18,18.0,18.0168,0.0168
2,3,1000,19,19.0,19.0177,0.0177
3,1,450,1,1.0,0.9957,-0.0043
3,1,450,2,1.45,1.4505,0.0005
3,1,450,3,1.9,1.901,0.001
3,1,450,4,2.35,2.3515,0.0015
3,1,450,5,2.8,2.8019,0.0019
3,1,450,6,3.25,F,F
3,1,450,7,3.7,3.7025,0.0025
3,1,450,8,4.15,4.153,0.003
3,1,450,9,4.6,4.6035,0.0035
3,1,450,10,5.05,5.054,0.004
3,1,450,11,5.5,5.5044,0.0044
3,1,450,12,5.95,5.9548,0.0048
3,1,450,13,6.4,6.4054,0.0054
3,1,450,14,6.85,6.8558,0.0058
3,1,450,15,7.3,7.3062,0.0062
3,1,450,16,7.75,7.7566,0.0066
3,1,450,17,8.2,8.207,0.007
3,1,450,18,8.65,8.6575,0.0075
3,1,450,19,9.1,9.1081,0.0081
3,1,450,20,9.55,9.5583,0.0083
3,1,450,21,10.0,10.009,0.009
3,1,450,22,10.45,10.4594,0.0094
3,1,450,23,10.9,10.9098,0.0098
3,1,450,24,11.35,11.3603,0.0103
3,1,450,25,11.8,11.8107,0.0107
3,1,450,26,12.25,12.2612,0.0112
3,1,450,27,12.7,12.7117,0.0117
3,1,450,28,13.15,13.1621,0.0121
3,1,450,29,13.6,13.6125,0.0125
3,1,450,30,14.05,14.0629,0.0129
3,1,450,31,14.5,14.5134,0.0134
3,1,450,32,14.95,14.964,0.014
3,1,450,33,15.4,15.4144,0.0144
3,1,450,34,15.85,15.8648,0.0148
3,1,450,35,16.3,16.3151,0.0151
3,1,450,36,16.75,16.7656,0.0156
3,1,450,37,17.2,17.2164,0.0164
3,1,450,38,17.65,17.6669,0.0169
3,1,450,39,18.1,18.1173,0.0173
3,1,450,40,18.55,F,F
3,1,450,41,19.0,19.0178,0.0178
3,2,750,1,1.0,F,F
3,2,750,2,1.75,1.751,0.001
3,2,750,3,2.5,2.5016,0.0016
3,2,750,4,3.25,3.2522,0.0022
3,2,750,5,4.0,4.0029,0.0029
3,2,750,6,4.75,4.7537,0.0037
3,2,750,7,5.5,5.5045,0.0045
3,2,750,8,6.25,6.2553,0.0053
3,2,750,9,7.0,7.0059,0.0059
3,2,750,10,7.75,7.7567,0.0067
3,2,750,11,8.5,8.5074,0.0074
3,2,750,12,9.25,9.2582,0.0082
3,2,750,13,10.0,10.0088,0.0088
3,2,750,14,10.75,10.7596,0.0096
3,2,750,15,11.5,11.5104,0.0104
3,2,750,16,12.25,12.2611,0.0111
3,2,750,17,13.0,13.0119,0.0119
3,2,750,18,13.75,F,F
3,2,750,19,14.5,14.5131,0.0131
3,2,750,20,15.25,15.2643,0.0143
3,2,750,21,16.0,16.015,0.015
3,2,750,22,16.75,16.7657,0.0157
3,2,750,23,17.5,17.5165,0.0165
3,2,750,24,18.25,18.2675,0.0175
3,2,750,25,19.0,F,F
3,3,1000,1,1.0,F,F
3,3,1000,2,2.0,2.0015,0.0015
3,3,1000,3,3.0,3.0021,0.0021
3,3,1000,4,4.0,4.0032,0.0032
3,3,1000,5,5.0,5.0042,0.0042
3,3,1000,6,6.0,6.0052,0.0052
3,3,1000,7,7.0,7.0062,0.0062
3,3,1000,8,8.0,8.0072,0.0072
3,3,1000,9,9.0,9.008,0.008
3,3,1000,10,10.0,10.0091,0.0091
3,3,1000,11,11.0,11.0102,0.0102
3,3,1000,12,12.0,12.0111,0.0111
3,3,1000,13,13.0,13.012,0.012
3,3,1000,14,14.0,14.0133,0.0133
3,3,1000,15,15.0,15.0142,0.0142
3,3,1000,16,16.0,16.0151,0.0151
3,3,1000,17,17.0,17.0162,0.0162
3,3,1000,18,18.0,18.0171,0.0171
3,3,1000,19,19.0,F,F
